index,Location,Metrics,Model Category,Model,y
90,S4,MAE,MA,GRU,3.983487315707736
91,S4,MAE,MA,LSTM,3.843917147318523
92,S4,MAE,DReg,CNN,7.672910747528075
93,S4,MAE,DReg,RNN,5.293729786343046
94,S4,MAE,DReg,GRU,4.9121962907579215
95,S4,MAE,DReg,LSTM,1.1571743361155191
96,S4,MAE,MA DReg,CNN,6.486728734970092
97,S4,MAE,MA DReg,RNN,6.240340115229289
98,S4,MAE,MA DReg,GRU,4.941923643747966
99,S4,MAE,MA DReg,LSTM,5.125820155673558
100,S4,MAE,HY,CNN LSTM,13.143647054036458
101,S4,MAE,HY,RNN LSTM GRU,5.211139427820842
102,S4,MAE,HY,CNN RNN GRU,4.23748813841078
103,S4,MAE,HY,CNN GRU,14.76946149190267
104,S4,MAE,HY,RNN GRU,14.024214949078033
105,S4,MAE,HY,RNN LSTM,14.366500741110908
106,S4,MAE,MA HY,CNN LSTM,12.556721600426568
107,S4,MAE,MA HY,RNN LSTM GRU,4.984593522813586
108,S4,MAE,MA HY,CNN RNN GRU,4.236722841262817
109,S4,MAE,MA HY,CNN GRU,14.194214548534818
110,S4,MAE,MA HY,RNN GRU,14.010344497892593
111,S4,MAE,MA HY,RNN LSTM,14.146930077870689
0,S1,R2,General,CNN,-1.0
1,S1,R2,General,RNN,0.9599470128297052
2,S1,R2,General,GRU,-0.7645409639368851
3,S1,R2,General,LSTM,-0.6173538750244523
4,S1,R2,MA,CNN,0.9685049568910382
5,S1,R2,MA,RNN,0.9408080439941533
6,S1,R2,MA,GRU,1.0
7,S1,R2,MA,LSTM,0.9934652026219517
8,S1,R2,DReg,CNN,0.8178956985267345
9,S1,R2,DReg,RNN,0.937032089559499
10,S1,R2,DReg,GRU,0.9523398512288805
11,S1,R2,DReg,LSTM,0.9909005217308242
12,S1,R2,MA DReg,CNN,0.9043544819077136
13,S1,R2,MA DReg,RNN,0.9119409548881214
14,S1,R2,MA DReg,GRU,0.9226350868996078
15,S1,R2,MA DReg,LSTM,0.9592641383044707
16,S1,R2,HY,CNN LSTM,0.6518928089998106
17,S1,R2,HY,RNN LSTM GRU,0.9436299642969492
18,S1,R2,HY,CNN RNN GRU,0.9898161606395262
19,S1,R2,HY,CNN GRU,0.5600493034967893
20,S1,R2,HY,RNN GRU,0.6641480074725084
21,S1,R2,HY,RNN LSTM,0.616123331246361
22,S1,R2,MA HY,CNN LSTM,0.6124800816316485
23,S1,R2,MA HY,RNN LSTM GRU,0.9533542813996503
24,S1,R2,MA HY,CNN RNN GRU,0.9894733167182612
25,S1,R2,MA HY,CNN GRU,0.6054222424490081
26,S1,R2,MA HY,RNN GRU,0.5882191423517775
27,S1,R2,MA HY,RNN LSTM,0.6130771019784045
28,S2,R2,General,CNN,0.9908142025506259
29,S2,R2,General,RNN,0.8888356656998015
30,S2,R2,General,GRU,-0.9830297159553928
31,S2,R2,General,LSTM,-1.0
32,S2,R2,MA,CNN,0.9692411614545797
33,S2,R2,MA,RNN,0.8985017284924386
34,S2,R2,MA,GRU,0.9724394197964781
35,S2,R2,MA,LSTM,0.9767282198062162
36,S2,R2,DReg,CNN,0.8666385608725922
37,S2,R2,DReg,RNN,0.8819383478164657
38,S2,R2,DReg,GRU,0.9062138357015979
39,S2,R2,DReg,LSTM,1.0
40,S2,R2,MA DReg,CNN,0.6640588949311019
41,S2,R2,MA DReg,RNN,0.8837020742747244
42,S2,R2,MA DReg,GRU,0.915305489194945
43,S2,R2,MA DReg,LSTM,0.9149240120718702
44,S2,R2,HY,CNN LSTM,0.5840244639015237
45,S2,R2,HY,RNN LSTM GRU,0.8962054544976232
46,S2,R2,HY,CNN RNN GRU,0.9545247565215971
47,S2,R2,HY,CNN GRU,0.49919170943961366
48,S2,R2,HY,RNN GRU,0.5401382309864187
49,S2,R2,HY,RNN LSTM,0.590722923759663
50,S2,R2,MA HY,CNN LSTM,0.5282689414311021
51,S2,R2,MA HY,RNN LSTM GRU,0.9079199718036464
52,S2,R2,MA HY,CNN RNN GRU,0.9539000517917291
53,S2,R2,MA HY,CNN GRU,0.5266479527243451
54,S2,R2,MA HY,RNN GRU,0.5476812636750648
55,S2,R2,MA HY,RNN LSTM,0.5530077098228809
56,S3,R2,General,CNN,-1.0
57,S3,R2,General,RNN,0.9089872521707196
58,S3,R2,General,GRU,-0.7174967840651341
59,S3,R2,General,LSTM,-0.6113986657677869
60,S3,R2,MA,CNN,0.9328812996651883
61,S3,R2,MA,RNN,0.9001152111984834
62,S3,R2,MA,GRU,0.9594097085907958
63,S3,R2,MA,LSTM,0.9884868750471862
64,S3,R2,DReg,CNN,0.8411180452323013
65,S3,R2,DReg,RNN,0.9128133854251308
66,S3,R2,DReg,GRU,0.88916063951746
67,S3,R2,DReg,LSTM,1.0
68,S3,R2,MA DReg,CNN,0.8908218266982002
69,S3,R2,MA DReg,RNN,0.8986032476978778
70,S3,R2,MA DReg,GRU,0.8978220787164595
71,S3,R2,MA DReg,LSTM,0.9189406622772314
72,S3,R2,HY,CNN LSTM,0.6292562827004555
73,S3,R2,HY,RNN LSTM GRU,0.8835052881578935
74,S3,R2,HY,CNN RNN GRU,0.9464850664837778
75,S3,R2,HY,CNN GRU,0.5897235744643721
76,S3,R2,HY,RNN GRU,0.5921513203325104
77,S3,R2,HY,RNN LSTM,0.5694233413818537
78,S3,R2,MA HY,CNN LSTM,0.5527934071486662
79,S3,R2,MA HY,RNN LSTM GRU,0.9131226306188158
80,S3,R2,MA HY,CNN RNN GRU,0.9467163201076221
