index,Location,Metrics,Model Category,Model,y
49,S2,MAE,HY,RNN LSTM,0.0945612076421578
50,S2,MAE,MA HY,CNN LSTM,0.2659764475292629
51,S2,MAE,MA HY,RNN LSTM GRU,0.2870688413249122
52,S2,MAE,MA HY,CNN RNN GRU,0.7374239823553297
53,S2,MAE,MA HY,CNN GRU,0.774850007030699
54,S2,MAE,MA HY,RNN GRU,0.1801667988962597
55,S2,MAE,MA HY,RNN LSTM,0.2065338506301244
56,S3,MAE,General,CNN,0.1743141637763215
57,S3,MAE,General,RNN,0.1493817278246084
58,S3,MAE,General,GRU,0.7907045131259495
59,S3,MAE,General,LSTM,0.126149446517229
60,S3,MAE,MA,CNN,0.3100391295221116
61,S3,MAE,MA,RNN,0.2263809961742825
62,S3,MAE,MA,GRU,0.3393830845091077
63,S3,MAE,MA,LSTM,0.2966079025136099
64,S3,MAE,DReg,CNN,0.2669608456227514
65,S3,MAE,DReg,RNN,0.1256659381629692
66,S3,MAE,DReg,GRU,0.1309220770084195
67,S3,MAE,DReg,LSTM,0.1128921351333459
68,S3,MAE,MA DReg,CNN,0.9366613772842618
69,S3,MAE,MA DReg,RNN,0.1868773827619022
70,S3,MAE,MA DReg,GRU,0.2943118529849582
71,S3,MAE,MA DReg,LSTM,0.3260690009593963
72,S3,MAE,HY,CNN LSTM,0.1137543461802932
73,S3,MAE,HY,RNN LSTM GRU,0.1198998410117605
74,S3,MAE,HY,CNN RNN GRU,0.1337225354462862
75,S3,MAE,HY,CNN GRU,0.1263390896303786
76,S3,MAE,HY,RNN GRU,0.1212030526135478
77,S3,MAE,HY,RNN LSTM,0.1168518356647756
78,S3,MAE,MA HY,CNN LSTM,0.325433628393544
79,S3,MAE,MA HY,RNN LSTM GRU,0.3494004929065704
80,S3,MAE,MA HY,CNN RNN GRU,0.5787728496392569
81,S3,MAE,MA HY,CNN GRU,0.4816215369436476
82,S3,MAE,MA HY,RNN GRU,0.2672018803821669
83,S3,MAE,MA HY,RNN LSTM,0.2089254326952828
84,S4,MAE,General,CNN,0.1929369974508882
85,S4,MAE,General,RNN,0.1981214768108394
86,S4,MAE,General,GRU,0.7820205444759794
87,S4,MAE,General,LSTM,0.1362745818744103
88,S4,MAE,MA,CNN,0.2561340150402652
89,S4,MAE,MA,RNN,0.1936667093965742
90,S4,MAE,MA,GRU,0.2864691129657957
91,S4,MAE,MA,LSTM,0.2914161676499578
92,S4,MAE,DReg,CNN,0.3594735567106141
93,S4,MAE,DReg,RNN,0.1300535925208694
94,S4,MAE,DReg,GRU,0.1290665774212943
95,S4,MAE,DReg,LSTM,0.1141458590411477
96,S4,MAE,MA DReg,CNN,1.3718755608755682
97,S4,MAE,MA DReg,RNN,0.3859244449602232
98,S4,MAE,MA DReg,GRU,0.3044253144992722
99,S4,MAE,MA DReg,LSTM,0.4424795913696289
